genloc,isolate
476,81
561,123
561,81
561,36
357,183
561,81
561,81
357,189
357,84
935,60
357,81
476,81
561,36
357,81
357,114
357,84
748,81
357,189
561,150
935,183
476,84
357,210
357,150
357,153
748,150
561,84
476,81
748,183
357,153
561,81
476,150
476,81
476,36
561,81
476,81
561,150
748,150
561,117
357,189
357,81
561,81
357,123
748,177
476,156
561,81
748,81
357,189
595,84
357,192
748,156
561,150
561,81
357,45
357,81
748,81
561,189
748,111
357,150
561,150
476,150
357,81
561,81
357,81
748,183
357,81
357,81
476,177
561,81
357,156
357,153
561,81
561,150
357,84
357,81
357,81
561,114
561,150
357,84
561,123
748,81
748,153
561,81
476,114
561,156
357,48
935,105
357,84
476,81
561,114
595,54
476,219
561,12
561,81
357,60
561,81
357,48
561,150
935,36
561,84
748,189
357,81
357,81
561,81
561,177
595,231
561,81
935,150
357,189
561,189
357,81
357,81
748,81
561,81
357,153
748,84
357,84
476,123
748,81
357,150
561,150
561,117
561,84
595,195
561,81
748,81
748,81
561,150
595,156
357,87
357,216
748,81
561,84
357,153
561,84
357,84
357,81
357,81
357,114
561,84
561,81
748,81
561,45
561,81
595,117
561,84
561,48
595,150
561,150
935,96
561,117
561,189
357,117
357,150
357,81
561,114
476,150
595,168
357,81
935,81
357,48
561,87
561,81
561,45
357,189
357,114
561,84
476,81
561,81
476,114
561,84
935,123
561,12
357,36
748,12
935,189
561,81
561,219
748,84
748,81
357,36
561,81
561,150
357,183
476,81
357,81
561,150
561,81
935,153
357,81
561,150
357,36
476,177
561,189
357,168
357,189
935,81
595,189
595,123
357,81
748,81
357,189
561,183
357,45
595,150
357,81
357,81
357,81
748,81
561,81
748,81
561,45
561,12
357,150
476,84
561,81
561,150
357,45
357,81
357,84
561,81
561,159
357,150
357,126
476,150
357,189
476,114
748,81
561,81
476,177
357,147
357,60
561,126
748,189
561,159
561,150
357,81
357,36
561,150
476,150
476,81
476,177
357,81
476,54
357,66
357,84
748,150
561,189
748,60
357,126
561,126
357,156
476,126
561,126
357,45
357,84
357,81
748,156
357,126
357,84
561,150
748,129
357,150
357,183
357,177
561,150
357,45
561,81
357,81
476,81
357,81
476,81
748,84
357,150
357,81
357,150
357,159
357,66
935,150
748,81
561,81
357,81
357,81
748,81
357,81
595,150
357,126
357,126
357,150
561,150
561,81
476,153
357,81
561,84
561,153
561,81
561,81
357,150
357,81
357,189
357,126
561,126
476,81
561,126
357,150
357,81
476,156
561,219
561,150
561,150
357,81
561,150
561,150
561,12
748,81
357,36
357,81
561,81
561,150
748,81
357,231
561,84
561,81
561,150
748,150
561,84
561,231
748,81
357,81
357,150
357,84
357,81
561,81
561,81
357,12
748,81
748,45
476,219
561,210
357,81
561,126
357,81
357,150
357,189
357,81
561,81
561,231
357,84
561,48
748,162
357,126
561,81
476,84
561,45
357,81
561,126
357,114
561,138
357,84
561,45
357,81
357,81
748,84
561,126
561,117
561,84
561,150
357,45
748,156
561,81
476,81
357,189
476,81
748,156
357,81
561,159
357,150
561,177
561,84
